ID_Caso,Cliente_ID,Fecha_Reporte,Motivo_Contacto,Tiempo_Resolución_Horas,Satisfacción_Atención
1,38,2024-01-01,Duda sobre Garantía,67,1
2,33,2024-01-02,Producto Defectuoso,12,7
3,37,2024-01-03,Producto Defectuoso,20,5
4,27,2024-01-04,Duda sobre Garantía,5,6
5,33,2024-01-05,Producto Defectuoso,37,6
6,4,2024-01-06,Duda sobre Garantía,38,8
7,22,2024-01-07,Retraso en Entrega,9,9
8,2,2024-01-08,Duda sobre Garantía,53,2
9,10,2024-01-09,Duda sobre Garantía,44,9
10,5,2024-01-10,Soporte Técnico,24,10
11,10,2024-01-11,Duda sobre Garantía,30,9
12,33,2024-01-12,Duda sobre Garantía,59,10
13,38,2024-01-13,Retraso en Entrega,14,10
14,13,2024-01-14,Soporte Técnico,9,7
15,31,2024-01-15,Problema de Facturación,40,1
16,47,2024-01-16,Retraso en Entrega,66,7
17,36,2024-01-17,Retraso en Entrega,25,10
18,45,2024-01-18,Problema de Facturación,22,5
19,24,2024-01-19,Duda sobre Garantía,4,6
20,15,2024-01-20,Producto Defectuoso,26,10
21,29,2024-01-21,Soporte Técnico,58,7
22,8,2024-01-22,Producto Defectuoso,29,5
23,5,2024-01-23,Problema de Facturación,37,7
24,29,2024-01-24,Retraso en Entrega,70,9
25,47,2024-01-25,Retraso en Entrega,18,3
26,4,2024-01-26,Soporte Técnico,42,8
27,12,2024-01-27,Retraso en Entrega,41,2
28,45,2024-01-28,Retraso en Entrega,38,7
29,2,2024-01-29,Soporte Técnico,34,2
30,27,2024-01-30,Soporte Técnico,17,4
31,31,2024-01-31,Problema de Facturación,37,7
32,36,2024-02-01,Retraso en Entrega,25,3
33,36,2024-02-02,Retraso en Entrega,27,2
34,26,2024-02-03,Problema de Facturación,57,10
35,43,2024-02-04,Duda sobre Garantía,31,7
36,27,2024-02-05,Duda sobre Garantía,6,1
37,5,2024-02-06,Duda sobre Garantía,40,8
38,20,2024-02-07,Problema de Facturación,12,3
39,11,2024-02-08,Retraso en Entrega,53,2
40,10,2024-02-09,Problema de Facturación,71,3
41,40,2024-02-10,Problema de Facturación,10,5
42,38,2024-02-11,Duda sobre Garantía,45,8
43,6,2024-02-12,Producto Defectuoso,17,10
44,8,2024-02-13,Retraso en Entrega,26,7
45,23,2024-02-14,Duda sobre Garantía,62,7
46,47,2024-02-15,Producto Defectuoso,46,7
47,26,2024-02-16,Producto Defectuoso,64,8
48,46,2024-02-17,Soporte Técnico,2,1
49,43,2024-02-18,Retraso en Entrega,54,4
50,12,2024-02-19,Producto Defectuoso,65,6
51,26,2024-02-20,Duda sobre Garantía,51,9
52,13,2024-02-21,Soporte Técnico,53,2
53,40,2024-02-22,Retraso en Entrega,36,1
54,18,2024-02-23,Problema de Facturación,26,10
55,25,2024-02-24,Duda sobre Garantía,29,2
56,33,2024-02-25,Producto Defectuoso,21,7
57,47,2024-02-26,Producto Defectuoso,11,3
58,40,2024-02-27,Duda sobre Garantía,40,10
59,43,2024-02-28,Producto Defectuoso,11,2
60,12,2024-02-29,Soporte Técnico,36,7
61,44,2024-03-01,Retraso en Entrega,59,2
62,36,2024-03-02,Soporte Técnico,39,3
63,48,2024-03-03,Producto Defectuoso,54,7
64,4,2024-03-04,Problema de Facturación,55,4
65,5,2024-03-05,Retraso en Entrega,24,1
66,37,2024-03-06,Retraso en Entrega,22,5
67,8,2024-03-07,Duda sobre Garantía,69,9
68,42,2024-03-08,Duda sobre Garantía,56,8
69,49,2024-03-09,Problema de Facturación,33,9
70,28,2024-03-10,Retraso en Entrega,36,10
71,31,2024-03-11,Problema de Facturación,20,9
72,9,2024-03-12,Duda sobre Garantía,62,7
73,29,2024-03-13,Duda sobre Garantía,26,4
74,14,2024-03-14,Retraso en Entrega,66,5
75,40,2024-03-15,Soporte Técnico,40,1
76,41,2024-03-16,Producto Defectuoso,17,1
77,22,2024-03-17,Duda sobre Garantía,1,3
78,11,2024-03-18,Duda sobre Garantía,61,8
79,23,2024-03-19,Soporte Técnico,43,2
80,1,2024-03-20,Soporte Técnico,42,4
81,46,2024-03-21,Problema de Facturación,25,2
82,37,2024-03-22,Problema de Facturación,39,5
83,21,2024-03-23,Producto Defectuoso,35,9
84,26,2024-03-24,Producto Defectuoso,3,1
85,46,2024-03-25,Retraso en Entrega,44,5
86,36,2024-03-26,Problema de Facturación,51,9
87,23,2024-03-27,Duda sobre Garantía,12,1
88,1,2024-03-28,Problema de Facturación,19,9
89,40,2024-03-29,Duda sobre Garantía,44,8
90,15,2024-03-30,Soporte Técnico,59,4
91,21,2024-03-31,Problema de Facturación,49,10
92,47,2024-04-01,Soporte Técnico,61,5
93,9,2024-04-02,Producto Defectuoso,17,5
94,9,2024-04-03,Producto Defectuoso,57,6
95,10,2024-04-04,Retraso en Entrega,55,7
96,26,2024-04-05,Problema de Facturación,47,8
97,41,2024-04-06,Soporte Técnico,12,8
98,35,2024-04-07,Duda sobre Garantía,62,2
99,25,2024-04-08,Producto Defectuoso,8,9
100,26,2024-04-09,Producto Defectuoso,21,7
