ID_Campaña,Nombre_Campaña,Presupuesto,Clicks,Conversiones,Costo_Adquisición_Cliente
1,Email Marketing,2548,4669,325,7.84
2,Anuncios en TV,5280,4223,323,16.34674922600619
3,Patrocinios,1216,2225,105,11.58095238095238
4,Patrocinios,8439,3387,333,25.34234234234234
5,SEO,6065,464,277,21.89530685920577
6,Descuentos Especiales,5044,4721,269,18.75092936802974
7,Email Marketing,5476,1746,463,11.82721382289417
8,SEO,3919,1018,403,9.724565756823822
9,SEM,7739,2897,412,18.78398058252427
10,Publicidad en Redes,749,1631,42,17.83333333333333
11,Patrocinios,9365,3445,423,22.13947990543735
12,SEM,1270,2006,98,12.95918367346939
13,SEM,4863,3186,99,49.12121212121212
14,Anuncios en TV,1577,4680,309,5.103559870550161
15,Publicidad en Redes,8927,2175,73,122.2876712328767
16,SEM,9080,813,322,28.19875776397516
17,SEM,8401,1162,448,18.75223214285714
18,Publicidad en Redes,5358,2076,240,22.325
19,Publicidad en Redes,7044,1396,438,16.08219178082192
20,SEM,5219,225,338,15.44082840236686
21,Publicidad en Redes,3314,4732,377,8.790450928381963
22,SEM,3874,3696,380,10.19473684210526
23,SEM,1752,3383,463,3.784017278617711
24,Anuncios en TV,7496,1703,141,53.16312056737588
25,Email Marketing,5173,166,422,12.25829383886256
26,SEM,5030,332,80,62.875
27,SEO,7381,2256,487,15.15605749486653
28,Patrocinios,7449,1269,39,191.0
29,Descuentos Especiales,6741,2258,5,1348.2
30,Email Marketing,8517,4306,300,28.39
31,Email Marketing,7441,1593,324,22.96604938271605
32,Email Marketing,7502,4818,410,18.29756097560976
33,Anuncios en TV,1831,4107,64,28.609375
34,SEM,4761,2572,324,14.69444444444444
35,Anuncios en TV,8148,2760,353,23.08215297450425
36,SEM,5615,2839,332,16.91265060240964
37,Anuncios en TV,5137,1861,271,18.95571955719557
38,Anuncios en TV,5354,3614,365,14.66849315068493
39,Patrocinios,3677,2075,233,15.78111587982833
40,SEO,8230,2462,274,30.03649635036496
41,Anuncios en TV,2680,976,320,8.375
42,Patrocinios,5392,3912,290,18.59310344827586
43,Publicidad en Redes,7543,3548,295,25.56949152542373
44,SEO,637,1412,217,2.935483870967742
45,Anuncios en TV,6827,1560,169,40.39644970414201
46,Descuentos Especiales,3972,2809,9,441.3333333333333
47,Email Marketing,5949,2424,343,17.34402332361516
48,Publicidad en Redes,3332,1833,383,8.699738903394255
49,Publicidad en Redes,4079,1705,82,49.74390243902439
50,Patrocinios,6471,2663,414,15.6304347826087
51,Publicidad en Redes,4664,3521,66,70.66666666666667
52,SEO,8441,3617,136,62.06617647058823
53,Anuncios en TV,6069,2497,93,65.25806451612904
54,Anuncios en TV,4800,3835,241,19.91701244813278
55,Descuentos Especiales,6769,2970,46,147.1521739130435
56,Email Marketing,4318,1260,93,46.43010752688172
57,Patrocinios,2406,4954,406,5.926108374384237
58,Email Marketing,6754,342,300,22.51333333333333
59,Publicidad en Redes,1260,2690,332,3.795180722891566
60,Descuentos Especiales,8330,1163,299,27.85953177257525
61,Email Marketing,7850,4424,108,72.68518518518519
62,SEO,6738,2695,18,374.3333333333333
63,Anuncios en TV,6590,1019,292,22.56849315068493
64,Publicidad en Redes,6531,105,183,35.68852459016394
65,Descuentos Especiales,8187,567,129,63.46511627906977
66,Email Marketing,9591,4270,426,22.51408450704225
67,Patrocinios,8972,103,357,25.13165266106443
68,SEO,2387,745,27,88.4074074074074
69,SEO,3766,217,67,56.20895522388059
70,Email Marketing,1166,3028,147,7.931972789115647
71,Anuncios en TV,4688,2651,485,9.665979381443298
72,Email Marketing,1171,4389,157,7.45859872611465
73,Publicidad en Redes,7277,946,149,48.83892617449664
74,Email Marketing,8070,2862,229,35.24017467248908
75,SEO,8456,1241,499,16.94589178356713
76,Descuentos Especiales,5624,1910,454,12.38766519823788
77,Email Marketing,6085,823,466,13.05793991416309
78,Anuncios en TV,5277,324,313,16.8594249201278
79,Descuentos Especiales,4400,4727,108,40.74074074074074
80,Patrocinios,7177,4308,108,66.45370370370371
81,SEM,7481,4754,439,17.04100227790433
82,Email Marketing,6876,2148,43,159.906976744186
83,Anuncios en TV,1023,4849,439,2.330296127562642
84,Descuentos Especiales,2893,4515,202,14.32178217821782
85,Anuncios en TV,3093,1673,138,22.41304347826087
86,Patrocinios,7740,1928,71,109.0140845070423
87,SEO,7437,2017,395,18.82784810126582
88,Anuncios en TV,6690,4334,183,36.55737704918032
89,Descuentos Especiales,5740,2126,460,12.47826086956522
90,Anuncios en TV,6993,3844,46,152.0217391304348
91,Anuncios en TV,3378,1001,452,7.473451327433628
92,Anuncios en TV,4643,4885,19,244.3684210526316
93,Publicidad en Redes,4144,2139,115,36.03478260869565
94,Publicidad en Redes,4932,109,161,30.63354037267081
95,SEO,1776,360,293,6.061433447098976
96,Email Marketing,6311,1773,482,13.09336099585062
97,Anuncios en TV,802,2319,235,3.412765957446808
98,Patrocinios,1138,2160,415,2.742168674698795
99,Email Marketing,555,3813,424,1.308962264150943
100,Patrocinios,9217,1719,161,57.24844720496895
