ID_venta,Fecha,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Cliente_ID,Satisfacción_Cliente,NPS
1,2024-01-01,Mouse Gaming,Monitores,1298,9,11682,26,5,-48
2,2024-01-02,Monitor 4K,Celulares,1892,4,7568,35,7,50
3,2024-01-03,SSD 1TB,Computadores,1307,1,1307,25,10,43
4,2024-01-04,Auriculares Pro,Impresoras,733,2,1466,24,10,-44
5,2024-01-05,Mouse Gaming,Mobiliario,713,1,713,13,6,-62
6,2024-01-06,Impresora Láser,Mobiliario,1900,5,9500,7,5,8
7,2024-01-07,Tablet Ultra,Almacenamiento,1447,5,7235,36,4,80
8,2024-01-08,Mouse Gaming,Impresoras,1745,7,12215,45,2,-59
9,2024-01-09,SSD 1TB,Accesorios,1681,9,15129,20,4,85
10,2024-01-10,Auriculares Pro,Tablets,1545,9,13905,1,10,66
11,2024-01-11,Monitor 4K,Monitores,1306,3,3918,8,10,41
12,2024-01-12,SSD 1TB,Impresoras,1765,3,5295,46,3,21
13,2024-01-13,SSD 1TB,Almacenamiento,1186,3,3558,16,10,32
14,2024-01-14,Tablet Ultra,Tablets,1903,4,7612,14,1,62
15,2024-01-15,Teclado Mecánico,Tablets,1570,8,12560,12,8,-26
16,2024-01-16,Auriculares Pro,Computadores,491,6,2946,23,5,45
17,2024-01-17,Smartphone X1,Tablets,613,8,4904,15,4,-25
18,2024-01-18,SSD 1TB,Accesorios,1341,1,1341,28,8,-92
19,2024-01-19,Teclado Mecánico,Mobiliario,1583,8,12664,34,7,-27
20,2024-01-20,Smartphone X1,Almacenamiento,1880,4,7520,2,2,85
21,2024-01-21,Auriculares Pro,Tablets,1459,1,1459,32,1,44
22,2024-01-22,Laptop ProTech,Computadores,1460,8,11680,23,4,-94
23,2024-01-23,Impresora Láser,Accesorios,1186,4,4744,22,8,73
24,2024-01-24,Teclado Mecánico,Celulares,1686,6,10116,25,2,40
25,2024-01-25,Silla Ergonómica,Mobiliario,1698,8,13584,22,3,67
26,2024-01-26,Laptop ProTech,Mobiliario,1001,4,4004,22,1,69
27,2024-01-27,Impresora Láser,Almacenamiento,1154,3,3462,49,1,36
28,2024-01-28,Tablet Ultra,Mobiliario,748,9,6732,42,3,77
29,2024-01-29,Mouse Gaming,Tablets,162,3,486,6,5,-74
30,2024-01-30,Monitor 4K,Computadores,51,9,459,15,3,21
31,2024-01-31,Silla Ergonómica,Mobiliario,691,2,1382,43,1,93
32,2024-02-01,Tablet Ultra,Mobiliario,269,2,538,37,1,-96
33,2024-02-02,Auriculares Pro,Celulares,1639,2,3278,33,8,-72
34,2024-02-03,Tablet Ultra,Celulares,904,6,5424,8,10,64
35,2024-02-04,Mouse Gaming,Monitores,1809,3,5427,44,2,65
36,2024-02-05,Auriculares Pro,Accesorios,1298,9,11682,44,3,-18
37,2024-02-06,Silla Ergonómica,Tablets,434,4,1736,5,2,35
38,2024-02-07,Mouse Gaming,Mobiliario,1476,1,1476,39,3,8
39,2024-02-08,Smartphone X1,Impresoras,1711,4,6844,4,7,-36
40,2024-02-09,Monitor 4K,Mobiliario,1203,1,1203,6,1,-15
41,2024-02-10,Silla Ergonómica,Computadores,1126,5,5630,45,10,44
42,2024-02-11,Smartphone X1,Monitores,1757,4,7028,32,8,-30
43,2024-02-12,Impresora Láser,Accesorios,779,8,6232,30,10,-56
44,2024-02-13,Silla Ergonómica,Impresoras,1745,8,13960,47,10,31
45,2024-02-14,Impresora Láser,Monitores,1783,7,12481,35,10,-65
46,2024-02-15,Auriculares Pro,Almacenamiento,1489,3,4467,40,2,-31
47,2024-02-16,Smartphone X1,Accesorios,296,1,296,16,3,58
48,2024-02-17,Monitor 4K,Mobiliario,885,1,885,13,9,-82
49,2024-02-18,Mouse Gaming,Mobiliario,1512,3,4536,42,7,88
50,2024-02-19,SSD 1TB,Accesorios,252,6,1512,30,4,7
51,2024-02-20,Tablet Ultra,Mobiliario,1257,7,8799,19,10,81
52,2024-02-21,Laptop ProTech,Tablets,172,6,1032,17,5,66
53,2024-02-22,Monitor 4K,Accesorios,450,6,2700,19,2,-10
54,2024-02-23,Smartphone X1,Monitores,816,6,4896,28,8,-11
55,2024-02-24,SSD 1TB,Accesorios,343,3,1029,26,4,-82
